"symbol","nameEN","ALPHA","MKT","SMB","HML","RMW","CMA","R2adj"
"ASN","ASN BROKER PUBLIC COMPANY LIMITED","-5e-05","0.62121","0.57638","-0.11365","0.08225","-0.20424","0.0305"
"ASP","ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY LIMITED","-2e-04","0.89643","0.5059","0.23402","-0.04448","-0.01514","0.24307"
"ASW","ASSETWISE PUBLIC COMPANY LIMITED","4e-05","0.52434","0.26949","0.18529","0.11584","-0.00708","0.09184"
"ATP30","ATP30 PUBLIC COMPANY LIMITED","9e-05","1.27696","1.06652","-0.09001","-0.26261","-0.17493","0.17981"
"AU","AFTER YOU PUBLIC COMPANY LIMITED","8e-05","1.35119","0.78283","-0.34235","0.12046","-0.04047","0.21543"
"AUCT","UNION AUCTION PUBLIC COMPANY LIMITED","0.00086","1.26589","1.15002","-0.24404","-0.13093","0.08031","0.12655"
"AURA","Aurora Design Public Company Limited","0.00183","0.5184","0.62134","-0.85373","-0.9675","-0.12102","0.1121"
"AWC","ASSET WORLD CORP PUBLIC COMPANY LIMITED","-3e-05","1.48028","-0.09276","0.08972","-0.59393","-0.29267","0.44974"
"AYUD","ALLIANZ AYUDHYA CAPITAL PUBLIC COMPANY LIMITED","0.00021","0.50015","0.25298","0.15146","0.04467","0.05958","0.06149"
"B","BEGISTICS PUBLIC COMPANY LIMITED","-0.00014","1.34844","1.31985","0.1779","-0.23585","0.04029","0.04982"
"B52","B-52 CAPITAL PUBLIC COMPANY LIMITED","0.00155","1.22792","1.32889","-0.8182","-0.77894","0.96423","0.03834"
"BA","BANGKOK AIRWAYS PUBLIC COMPANY LIMITED","-1e-05","1.14944","0.52311","-0.09731","-0.52786","0.1585","0.22409"
"BAFS","BANGKOK AVIATION FUEL SERVICES PCL.","4e-05","0.81956","0.27752","0.18685","-0.03906","0.03676","0.21162"
"BAM","BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED","-0.00047","1.4297","0.43805","-0.35455","-0.42848","-0.29794","0.41607"
"BANPU","BANPU PUBLIC COMPANY LIMITED","-0.00048","1.31975","0.27171","0.82873","-0.01688","-0.05342","0.2716"
"BAREIT","BA Airport Leasehold Real Estate Investment Trust","-0.00038","0.22872","0.16768","0.19965","0.07549","-0.02057","0.00808"
"BAY","BANK OF AYUDHYA PUBLIC COMPANY LIMITED","-7e-05","0.97922","-0.12467","0.24076","-0.60048","0.22533","0.23724"
"BBGI","BBGI PUBLIC COMPANY LIMITED","-0.00131","0.95309","0.88097","0.38076","-0.38831","-0.5868","0.2462"
"BBIK","BLUEBIK GROUP PUBLIC COMPANY LIMITED","0.00363","1.78005","1.54186","-0.51555","-0.24324","-0.46312","0.21648"
"BBL","BANGKOK BANK PUBLIC COMPANY LIMITED","-5e-05","0.86641","-0.26509","0.44235","-0.47277","-0.11886","0.43347"
"BC","BOUTIQUE CORPORATION PUBLIC COMPANY LIMITED","-0.00061","1.15068","1.03387","0.56712","-0.25959","0.05972","0.12556"
"BCH","BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED","0.00059","0.78884","0.12221","-0.22992","-0.05368","-0.19293","0.15349"
"BCP","BANGCHAK CORPORATION PUBLIC COMPANY LIMITED","2e-05","1.14375","-0.06823","0.53589","0.09225","0.03082","0.33198"
"BCPG","BCPG PUBLIC COMPANY LIMITED","3e-05","1.28608","0.3413","-0.06279","-0.33193","-0.17154","0.34185"
"BCT","BIRLA CARBON (THAILAND) PUBLIC COMPANY LIMITED","4e-04","0.3454","0.43797","0.14787","-0.06319","0.09555","0.04173"
"BDMS","BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED","0.00039","0.69853","-0.30784","-0.33234","-0.07998","-0.09734","0.26053"
"BE8","BERYL 8 PLUS PUBLIC COMPANY LIMITED","0.00168","1.81146","1.26294","-0.77552","-0.13721","-0.02687","0.23571"
"BEAUTY","BEAUTY COMMUNITY PUBLIC COMPANY LIMITED","-0.00034","1.58267","0.95792","-0.28236","-0.08182","-0.22469","0.19988"
"BEC","BEC WORLD PUBLIC COMPANY LIMITED","-0.00079","1.26441","0.64746","-0.17586","-0.13932","0.17833","0.16251"
"BEM","BANGKOK EXPRESSWAY AND METRO  PUBLIC COMPANY LIMITED","0.00054","0.97892","0.26028","-0.13783","-0.1643","-0.1658","0.25424"
